country,dhs_code,birth_year,month,baseline_mean,baseline_sd,n_years_used,baseline_year_start,baseline_year_end
HN,10,2007,9,306.89894479049,60.11765384270608,15,1992,2006
HN,10,2007,10,228.7447160627111,69.24638753943957,15,1992,2006
HN,10,2007,11,61.89218737344427,17.38964377973758,15,1992,2006
HN,10,2007,12,27.11747343552714,12.7042426318992,15,1992,2006
HN,10,2008,1,18.75246963421842,5.288200299357037,15,1993,2007
HN,10,2008,2,15.57286949605639,6.215771646376196,15,1993,2007
HN,10,2008,3,20.63317274516766,9.789331053635467,15,1993,2007
HN,10,2008,4,48.65469790467946,16.36737915500759,15,1993,2007
HN,10,2008,5,210.0799224538992,79.59791824449034,15,1993,2007
HN,10,2008,6,289.5369843822169,110.8228834526732,15,1993,2007
HN,10,2008,7,201.0709313633532,49.97312154935322,15,1993,2007
HN,10,2008,8,265.6358554752723,86.58871235832757,15,1993,2007
HN,10,2008,9,318.5321071433461,65.78830892268316,15,1993,2007
HN,10,2008,10,212.6135431461659,61.32362981455608,15,1993,2007
HN,10,2008,11,58.80143602639394,17.79472657309314,15,1993,2007
HN,10,2008,12,25.36034250276939,13.5682051510369,15,1993,2007
HN,10,2009,1,19.90756753218869,6.642713751318802,15,1994,2008
HN,10,2009,2,16.21072890105986,6.063517312186322,15,1994,2008
HN,10,2009,3,18.56870672872707,7.867647873359334,15,1994,2008
HN,10,2009,4,46.38371934174761,17.05662381863975,15,1994,2008
HN,10,2009,5,203.6904147773169,75.27179907526725,15,1994,2008
HN,10,2009,6,280.5340767694062,108.8013733129883,15,1994,2008
HN,10,2009,7,213.876691971516,69.71774759932347,15,1994,2008
HN,10,2009,8,262.154971219882,87.44262867304499,15,1994,2008
HN,10,2009,9,312.8003647630603,61.63313560931191,15,1994,2008
HN,10,2009,10,229.4855565750378,89.77674767315804,15,1994,2008
HN,10,2009,11,57.63768052388239,19.00270392261324,15,1994,2008
HN,10,2009,12,24.17925882838263,14.07655275098368,15,1994,2008
HN,10,2010,1,19.34359540809728,6.475036754735005,15,1995,2009
HN,10,2010,2,16.85679931245247,6.47209253508287,15,1995,2009
HN,10,2010,3,17.93155094747774,8.737400640024045,15,1995,2009
HN,10,2010,4,45.12927358170808,19.15814055001712,15,1995,2009
HN,10,2010,5,199.9461490563677,77.51425990387798,15,1995,2009
HN,10,2010,6,303.2384043544499,114.2357128971814,15,1995,2009
HN,10,2010,7,217.520307508924,64.36121984975571,15,1995,2009
HN,10,2010,8,264.109218970736,84.93673157381313,15,1995,2009
HN,10,2010,9,292.8058792387501,62.94672654427546,15,1995,2009
HN,10,2010,10,229.3986814632018,89.87813151589138,15,1995,2009
HN,10,2010,11,58.41234030566343,19.10653155623904,15,1995,2009
HN,10,2010,12,26.53488288801904,16.25571930662553,15,1995,2009
HN,10,2011,1,18.84072462677229,6.543706220168765,15,1996,2010
HN,10,2011,2,17.3464720790693,6.707038499657097,15,1996,2010
HN,10,2011,3,16.6535771476582,9.371071243083987,15,1996,2010
HN,10,2011,4,42.60430226649031,15.78308405965628,15,1996,2010
HN,10,2011,5,211.2345674339227,61.07915700576792,15,1996,2010
HN,10,2011,6,300.5038407800582,115.3073262664123,15,1996,2010
HN,10,2011,7,214.3300775637473,61.17425986552404,15,1996,2010
HN,10,2011,8,255.1886970641574,78.28167432497824,15,1996,2010
HN,10,2011,9,295.8969211666242,66.02189920331774,15,1996,2010
HN,10,2011,10,226.5664539086661,90.33181963147588,15,1996,2010
HN,10,2011,11,58.73532153713015,19.20449929452349,15,1996,2010
HN,10,2011,12,25.52580472396105,16.85976943594239,15,1996,2010
HN,10,2012,1,19.58923220000919,6.830213439924114,15,1997,2011
HN,10,2012,2,18.06718594391536,5.978046188167378,15,1997,2011
HN,10,2012,3,16.5804249370339,9.345914432168621,15,1997,2011
HN,10,2012,4,39.97459727235467,12.49358342590683,15,1997,2011
HN,10,2012,5,207.9044650135752,62.50818333433918,15,1997,2011
HN,10,2012,6,306.4793111816453,113.9705922824831,15,1997,2011
HN,10,2012,7,215.499549933274,61.46739038879866,15,1997,2011
HN,10,2012,8,241.7013131449526,59.37112993998099,15,1997,2011
HN,10,2012,9,300.8941868038863,65.15702613688305,15,1997,2011
HN,10,2012,10,229.170972433073,89.81839450469134,15,1997,2011
HN,10,2012,11,58.81855955804175,19.29950638659961,15,1997,2011
HN,10,2012,12,24.41429573966711,17.39065163436871,15,1997,2011
HN,11,1993,1,197.0347153718336,45.49006090697057,13,1980,1992
HN,11,1993,2,125.6428746572149,51.13647142700884,13,1980,1992
HN,11,1993,3,87.4954188816285,23.70863665666286,13,1980,1992
HN,11,1993,4,61.82149305226403,25.63068571217552,13,1980,1992
HN,11,1993,5,77.96734836732949,30.78807658830522,13,1980,1992
HN,11,1993,6,150.7955107174253,33.95670208847856,13,1980,1992
HN,11,1993,7,255.6706857268893,52.07849555415338,13,1980,1992
HN,11,1993,8,166.1768302155604,31.71683303659654,13,1980,1992
HN,11,1993,9,169.5712592242127,33.08158137951482,13,1980,1992
HN,11,1993,10,400.1700488424128,106.2773594367065,13,1980,1992
HN,11,1993,11,377.0109674517344,131.1122115409464,13,1980,1992
HN,11,1993,12,327.1220464383065,56.52528164976282,13,1980,1992
HN,11,1994,1,196.0121315154457,43.87259618234418,14,1980,1993
HN,11,1994,2,123.8154780119048,49.60383934189458,14,1980,1993
HN,11,1994,3,91.09743271665239,26.46703768977262,14,1980,1993
HN,11,1994,4,63.24869266248303,25.19752760964442,14,1980,1993
HN,11,1994,5,80.21828887681183,30.7558791857424,14,1980,1993
HN,11,1994,6,151.3955754539239,32.70171195227253,14,1980,1993
HN,11,1994,7,252.9098880930594,51.09059904556467,14,1980,1993
HN,11,1994,8,167.0859755226633,30.66182943878621,14,1980,1993
HN,11,1994,9,170.541270544455,31.9903111724208,14,1980,1993
HN,11,1994,10,399.0278961651015,102.1973757244117,14,1980,1993
HN,11,1994,11,376.0001759094644,126.0253007255426,14,1980,1993
HN,11,1994,12,326.3818179049418,54.37831465000382,14,1980,1993
HN,11,1995,1,200.3258829588226,45.45817218948736,15,1980,1994
HN,11,1995,2,122.8023641981092,47.96023302313825,15,1980,1994
HN,11,1995,3,89.73447378996485,26.04482546695738,15,1980,1994
HN,11,1995,4,62.25199730587175,24.58587648052858,15,1980,1994
HN,11,1995,5,79.39031903118524,29.81008399859952,15,1980,1994
HN,11,1995,6,149.3065895473879,32.53419803468402,15,1980,1994
HN,11,1995,7,247.2934365308412,53.823515806295,15,1980,1994
HN,11,1995,8,164.4884548377264,31.21219436345986,15,1980,1994
HN,11,1995,9,173.1460770653781,32.43542341353182,15,1980,1994
HN,11,1995,10,391.6122124364596,102.582490690843,15,1980,1994
HN,11,1995,11,372.1179568644519,122.3682774859654,15,1980,1994
HN,11,1995,12,321.0763020839023,56.28511536365924,15,1980,1994
HN,11,1996,1,201.0475599076698,45.18111515713067,15,1981,1995
HN,11,1996,2,121.4988803678133,47.77637434454148,15,1981,1995
HN,11,1996,3,93.07010935619996,22.63886764102257,15,1981,1995
HN,11,1996,4,60.81437295923558,21.69293311489651,15,1981,1995
HN,11,1996,5,77.59495913798644,31.70038086827074,15,1981,1995
HN,11,1996,6,145.7906686370698,29.36333574693332,15,1981,1995
HN,11,1996,7,246.8840002110777,53.41574059867031,15,1981,1995
HN,11,1996,8,166.2694768889198,31.78964284264585,15,1981,1995
HN,11,1996,9,168.7841552577569,28.24476213174929,15,1981,1995
HN,11,1996,10,379.5147748207322,85.47723316322246,15,1981,1995
HN,11,1996,11,373.3446856804429,122.7739912800255,15,1981,1995
HN,11,1996,12,316.4010610064158,56.44230886953017,15,1981,1995
HN,11,1997,1,204.6919696624485,40.0537247206801,15,1982,1996
HN,11,1997,2,115.9073261696309,45.64703882276457,15,1982,1996
HN,11,1997,3,93.0514340836453,22.65147979032556,15,1982,1996
HN,11,1997,4,62.33988418220191,22.89639159712355,15,1982,1996
HN,11,1997,5,77.49826678806757,31.69027798363744,15,1982,1996
HN,11,1997,6,139.9794432268063,25.22468753475117,15,1982,1996
HN,11,1997,7,243.3824407590913,52.3240872887303,15,1982,1996
HN,11,1997,8,165.1612595764896,29.60015401767365,15,1982,1996
HN,11,1997,9,162.2944273103367,29.13490500857406,15,1982,1996
